full_name,position,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,pass_att,pass_yds,pass_td,pass_int,fg_made,fg_att,pat_made
Kyle Pitts Sr.,TE,,,,80.357,856.877,3.19,,,,,,,
Olamide Zaccheaus,WR,,,,14.269,142.213,0.633,,,,,,,
Michael Penix Jr.,QB,19.346,76.857,0.901,,,,265.05,1886.286,9.533,5.078,,,
Kaden Wetjen,WR,2.143,11.653,0.082,1.632,18.759,0.086,,,,,,,
Tanner Koziol,TE,,,,3.907,36.633,0.278,,,,,,,
Antonio Williams,WR,4.082,22.312,0.201,40.482,519.006,3.182,,,,,,,
Jordan Mason,RB,161.976,749.321,5.435,13.401,83.381,0.336,,,,,,,
Kyle Allen,QB,1.058,2.929,0.042,,,,21.963,138.04,0.918,0.705,,,
Kaleb Johnson,RB,8.57,35.828,0.217,,,,,,,,,,
Dylan Sampson,RB,54.517,227.489,1.036,29.556,206.637,1.206,,,,,,,
Tyrone Tracy Jr.,RB,111.304,473.54,1.611,15.996,116.78,0.557,,,,,,,
Tyler Shough,QB,65.586,284.696,4.296,,,,547.966,3890.96,20.406,11.114,,,
Cam Ward,QB,46.551,200.383,2.028,,,,558.268,3754.026,16.423,10.286,,,
Jackson Hawes,TE,,,,11.096,110.172,0.893,,,,,,,
Chig Okonkwo,TE,,,,53.389,551.303,2.193,,,,,,,
Josh Allen,QB,116.367,579.454,12.429,,,,508.907,3945.07,26.215,11.573,,,
Tutu Atwell,WR,2.147,11.337,0.064,20.367,291.663,0.445,,,,,,,
Bo Nix,QB,82.266,355.61,3.944,,,,564.736,3873.118,26.386,11.129,,,
Spencer Rattler,QB,1.336,7.142,0.023,,,,22.941,153.633,0.806,0.512,,,
Jayden Daniels,QB,130.957,669.773,5.118,,,,520.256,3854.142,22.361,9.907,,,
George Pickens,WR,,,,79.947,1114.204,8.152,,,,,,,
Michael Wilson,WR,,,,70.609,860.774,3.415,,,,,,,
Brycen Tremayne,WR,,,,3.29,36.542,0.173,,,,,,,
Rashod Bateman,WR,,,,37.7,614.918,3.973,,,,,,,
Jonathan Mingo,WR,,,,2.871,40.614,0.25,,,,,,,
Cade Stover,TE,4.204,9.634,0.103,15.469,134.11,0.74,,,,,,,
Drake London,WR,,,,101.958,1248.626,7.288,,,,,,,
Brevyn Spann-Ford,TE,,,,3.873,36.783,0.329,,,,,,,
Zach Charbonnet,RB,136.596,555.061,6.864,20.331,145.062,0.443,,,,,,,
Jameson Williams,WR,6.964,45.091,0.589,64.194,1028.977,5.697,,,,,,,
Isaiah Likely,TE,,,,63.731,684.435,4.154,,,,,,,
Puka Nacua,WR,15.921,105.688,1.181,122.965,1589.932,9.754,,,,,,,
Davis Allen,TE,,,,7.821,73.624,0.741,,,,,,,
Justin Jefferson,WR,2.025,10.629,0.098,110.728,1375.593,7.37,,,,,,,
Tanner Hudson,TE,,,,13.059,110.245,0.886,,,,,,,
Jake Elliott,K,,,,,,,,,,,27.137,32.5,42.405
Josh Downs,WR,2.097,10.767,0.087,78.833,760.233,2.874,,,,,,,
Trey McBride,TE,,,,107.849,1023.929,5.362,,,,,,,
Elijah Higgins,TE,,,,20.908,182.191,0.683,,,,,,,
Sam Howell,QB,1.288,6.959,0.075,,,,22.004,144.75,1.046,0.722,,,
Reggie Virgil,WR,,,,3.363,39.274,0.143,,,,,,,
Chris Godwin Jr.,WR,,,,60.402,701.449,4.571,,,,,,,
Mike Gesicki,TE,,,,40.142,393.532,4.601,,,,,,,
Jaxson Dart,QB,100.78,553.174,6.624,,,,503.843,3689.696,20.896,10.157,,,
Romeo Doubs,WR,,,,56.017,714.405,5.616,,,,,,,
Chris Olave,WR,,,,90.498,1162.597,6.442,,,,,,,
Jeremy Ruckert,TE,,,,12.417,95.618,0.53,,,,,,,
Jahan Dotson,WR,,,,28.723,358.184,1.847,,,,,,,
Pat Freiermuth,TE,,,,59.883,600.885,2.785,,,,,,,
Luke McCaffrey,WR,,,,17.456,200.739,1.168,,,,,,,
Trey Smack,K,,,,,,,,,,,29.784,35.391,41.324
DeMario Douglas,WR,4.133,21.39,0.154,22.732,271.059,1.502,,,,,,,
Dyami Brown,WR,,,,29.577,392.125,2.667,,,,,,,
Javonte Williams,RB,287.481,1256.34,11.086,37.068,218.393,1.511,,,,,,,
Dominic Zvada,K,,,,,,,,,,,29.361,34.479,35.523
Daniel Bellinger,TE,,,,12.667,111.646,0.494,,,,,,,
Isiah Pacheco,RB,148.561,640.078,4.535,17.171,114.472,0.791,,,,,,,
Mark Andrews,TE,9.754,34.728,0.672,57.992,618.11,7.126,,,,,,,
Samaje Perine,RB,101.829,444.013,3.352,18.759,139.31,0.734,,,,,,,
Harrison Mevis,K,,,,,,,,,,,29.95,34.448,54.846
Jalen Royals,WR,,,,6.815,77.966,0.628,,,,,,,
Jauan Jennings,WR,,,,46.475,486.292,3.335,,,,,,,
Breece Hall,RB,265.0,1163.092,7.551,52.138,435.908,2.68,,,,,,,
Zavion Thomas,WR,,,,12.47,153.602,1.219,,,,,,,
Brock Purdy,QB,65.411,277.277,3.512,,,,529.63,4180.69,27.073,13.892,,,
Caleb Douglas,WR,,,,31.206,405.886,1.507,,,,,,,
Wil Lutz,K,,,,,,,,,,,27.96,33.016,38.889
Jake Browning,QB,1.264,5.497,0.086,,,,21.908,162.914,1.053,0.721,,,
Cameron Dicker,K,,,,,,,,,,,33.953,37.81,41.328
Fernando Mendoza,QB,52.11,226.274,1.91,,,,447.827,3052.427,14.18,10.48,,,
Chris Brooks,RB,22.411,98.508,0.61,15.741,110.96,0.578,,,,,,,
Chris Bell,WR,,,,34.228,448.863,1.657,,,,,,,
Chase Brown,RB,240.317,1046.354,7.399,64.149,434.6,2.818,,,,,,,
Jayden Reed,WR,8.965,64.905,0.414,63.444,728.781,4.404,,,,,,,
Jacory Croskey-Merritt,RB,195.929,846.217,7.444,12.528,87.355,0.471,,,,,,,
Harold Fannin Jr.,TE,8.501,21.142,0.321,82.985,817.315,3.19,,,,,,,
Jake Bates,K,,,,,,,,,,,27.828,32.436,49.145
Erick All Jr.,TE,,,,17.258,155.715,1.233,,,,,,,
Dalton Schultz,TE,,,,59.456,555.465,3.089,,,,,,,
Christian McCaffrey,RB,274.201,1130.872,9.169,79.084,685.259,4.776,,,,,,,
Drew Ogletree,TE,,,,3.649,35.345,0.258,,,,,,,
Derius Davis,WR,2.08,11.0,0.064,3.491,37.885,0.27,,,,,,,
Emari Demercado,RB,53.568,254.742,1.39,15.691,107.894,0.61,,,,,,,
Mitchell Tinsley,WR,,,,6.572,84.088,0.774,,,,,,,
Kenyon Sadiq,TE,,,,67.247,692.185,4.304,,,,,,,
Ko Kieft,TE,,,,3.668,36.107,0.305,,,,,,,
Jack Stoll,TE,,,,3.569,30.323,0.161,,,,,,,
Chris Rodriguez Jr.,RB,100.414,431.305,3.39,4.121,29.43,0.158,,,,,,,
Ja'Marr Chase,WR,4.073,21.084,0.143,119.456,1507.147,10.677,,,,,,,
Eddy Pineiro,K,,,,,,,,,,,32.115,36.072,42.002
Laquon Treadwell,WR,,,,3.505,36.86,0.192,,,,,,,
Jameis Winston,QB,0.739,2.664,0.028,,,,22.275,163.417,0.925,0.9,,,
Luke Musgrave,TE,,,,11.222,101.726,0.526,,,,,,,
Evan Engram,TE,,,,47.318,463.482,2.175,,,,,,,
Zachariah Branch,WR,,,,38.341,471.318,2.319,,,,,,,
Tyler Badie,RB,4.091,17.658,0.127,8.003,65.479,0.353,,,,,,,
KC Concepcion,WR,6.376,34.86,0.203,61.281,770.577,3.281,,,,,,,
Colston Loveland,TE,,,,80.197,897.86,6.023,,,,,,,
Charlie Woerner,TE,,,,3.925,32.688,0.179,,,,,,,
Ryan Flournoy,WR,2.211,12.35,0.095,33.949,383.798,2.655,,,,,,,
Johnny Mundt,TE,,,,3.447,35.388,0.208,,,,,,,
Justin Fields,QB,2.765,15.291,0.157,,,,20.597,140.218,0.919,0.431,,,
Rashee Rice,WR,8.241,42.639,0.592,96.277,1131.919,9.052,,,,,,,
Marcus Mariota,QB,1.755,9.797,0.056,,,,22.642,166.211,0.964,0.674,,,
James Cook III,RB,299.894,1399.578,10.965,35.931,302.13,1.615,,,,,,,
Jeremiyah Love,RB,254.778,1129.059,6.671,65.177,488.781,2.248,,,,,,,
Makai Lemon,WR,,,,58.561,836.402,5.24,,,,,,,
Tyquan Thornton,WR,,,,23.802,358.618,2.948,,,,,,,
Kyle Monangai,RB,191.996,825.833,6.482,25.657,215.133,1.281,,,,,,,
Ja'Kobi Lane,WR,,,,25.822,393.453,2.857,,,,,,,
Carnell Tate,WR,,,,77.93,1068.153,4.638,,,,,,,
Tyjae Spears,RB,97.281,410.93,2.708,49.566,333.473,1.597,,,,,,,
Tez Johnson,WR,4.365,23.291,0.213,6.661,77.615,0.606,,,,,,,
Christian Watson,WR,2.241,13.112,0.129,54.936,867.861,7.092,,,,,,,
Ben Sinnott,TE,,,,11.578,104.98,0.758,,,,,,,
Emanuel Wilson,RB,11.419,47.974,0.414,1.354,10.254,0.053,,,,,,,
Chase McLaughlin,K,,,,,,,,,,,30.571,34.479,34.743
Dak Prescott,QB,51.189,185.933,2.152,,,,556.035,4120.38,29.76,11.943,,,
Tre Tucker,WR,10.459,57.719,0.317,48.207,656.461,2.52,,,,,,,
David Montgomery,RB,214.41,929.933,6.981,31.456,230.697,0.61,,,,,,,
Ben Skowronek,WR,,,,5.385,51.034,0.213,,,,,,,
Baker Mayfield,QB,54.061,323.55,1.396,,,,526.417,3827.628,24.74,11.601,,,
Omar Cooper Jr.,WR,2.172,11.971,0.106,39.661,477.863,2.626,,,,,,,
Brandon Aubrey,K,,,,,,,,,,,35.483,39.644,46.0
AJ Barner,TE,9.202,17.979,0.466,44.721,432.698,3.636,,,,,,,
Michael Pittman Jr.,WR,,,,88.361,860.153,3.885,,,,,,,
Dontayvion Wicks,WR,,,,24.268,310.033,1.789,,,,,,,
Tyler Huntley,QB,1.968,9.479,0.053,,,,19.531,128.616,0.86,0.512,,,
Tank Bigsby,RB,83.259,373.242,3.365,3.625,28.669,0.14,,,,,,,
Kayshon Boutte,WR,,,,26.916,366.427,2.374,,,,,,,
Quentin Johnston,WR,2.08,10.801,0.085,52.792,773.834,5.606,,,,,,,
MarShawn Lloyd,RB,67.234,286.377,2.099,12.052,85.068,0.558,,,,,,,
Woody Marks,RB,142.94,579.179,2.951,24.137,201.019,1.345,,,,,,,
Theo Johnson,TE,,,,25.796,271.952,1.626,,,,,,,
De'Von Achane,RB,257.66,1304.639,4.961,64.809,511.792,2.959,,,,,,,
Chad Ryland,K,,,,,,,,,,,27.893,34.27,26.632
Michael Mayer,TE,,,,36.881,363.074,1.312,,,,,,,
Blake Corum,RB,181.958,837.541,7.325,16.689,117.09,0.612,,,,,,,
Arian Smith,WR,4.344,23.659,0.194,,,,,,,,,,
Durham Smythe,TE,,,,9.834,94.104,0.736,,,,,,,
Tahj Brooks,RB,30.549,129.408,0.944,,,,,,,,,,
Matt Gay,K,,,,,,,,,,,28.534,34.416,27.189
Jordan Addison,WR,2.025,14.431,0.115,60.488,770.251,5.185,,,,,,,
Noah Fant,TE,,,,21.267,179.978,0.983,,,,,,,
T.J. Hockenson,TE,,,,77.691,639.395,2.82,,,,,,,
Malik Benson,WR,,,,6.399,79.272,0.264,,,,,,,
Ray Davis,RB,32.296,137.767,1.062,7.751,59.958,0.39,,,,,,,
Justin Watson,WR,,,,3.085,41.553,0.223,,,,,,,
Anthony Gould,WR,,,,6.964,74.469,0.334,,,,,,,
Jordan Love,QB,50.387,212.984,0.916,,,,531.175,3995.074,25.118,10.71,,,
Josh Oliver,TE,,,,16.648,150.828,1.135,,,,,,,
Zay Flowers,WR,9.754,57.339,0.449,81.78,1172.848,5.523,,,,,,,
Jalen Tolbert,WR,,,,35.421,441.645,1.755,,,,,,,
Ka'imi Fairbairn,K,,,,,,,,,,,35.9,40.392,31.121
Jahmyr Gibbs,RB,283.195,1374.076,14.513,67.791,546.868,3.38,,,,,,,
Jawhar Jordan,RB,12.612,53.945,0.254,,,,,,,,,,
Jimmy Horn Jr.,WR,6.161,36.752,0.17,6.642,76.628,0.442,,,,,,,
George Holani,RB,38.858,164.187,1.529,8.009,62.21,0.283,,,,,,,
Jacoby Brissett,QB,47.202,210.294,1.313,,,,516.548,3359.054,15.029,9.181,,,
Sam LaPorta,TE,,,,78.301,788.12,5.366,,,,,,,
Xavier Legette,WR,2.054,10.761,0.058,41.722,500.496,3.211,,,,,,,
Greg Dortch,WR,4.643,23.998,0.367,4.098,39.827,0.273,,,,,,,
Brenton Strange,TE,,,,59.067,598.11,3.977,,,,,,,
KaVontae Turpin,WR,17.691,102.45,0.429,18.207,229.916,1.718,,,,,,,
Darnell Washington,TE,,,,30.957,304.186,1.888,,,,,,,
Bijan Robinson,RB,286.67,1374.078,8.452,75.666,707.118,3.382,,,,,,,
Jalen McMillan,WR,4.365,24.618,0.215,47.299,589.241,3.88,,,,,,,
Carson Beck,QB,6.552,29.239,0.28,,,,66.276,448.38,2.508,1.503,,,
Kyren Williams,RB,236.545,1071.263,10.178,33.421,223.816,1.644,,,,,,,
Kimani Vidal,RB,37.435,153.012,1.215,7.84,62.676,0.37,,,,,,,
KeAndre Lambert-Smith,WR,,,,9.628,121.003,0.852,,,,,,,
Sean Tucker,RB,43.654,182.653,2.44,1.985,14.422,0.082,,,,,,,
Jaxon Smith-Njigba,WR,4.601,25.169,0.165,116.746,1569.192,8.537,,,,,,,
Alvin Kamara,RB,124.649,499.638,2.293,35.253,232.496,0.933,,,,,,,
JuJu Smith-Schuster,WR,,,,0.692,6.412,0.038,,,,,,,
Riley Nowakowski,RB,,,,4.259,29.058,0.159,,,,,,,
Quinn Ewers,QB,0.976,4.01,0.02,,,,22.372,152.89,0.561,0.605,,,
Chimere Dike,WR,10.133,50.18,0.567,7.105,73.704,0.516,,,,,,,
Troy Franklin,WR,2.045,10.575,0.078,17.008,215.842,1.771,,,,,,,
Rome Odunze,WR,,,,59.333,1029.445,8.435,,,,,,,
Drake Maye,QB,101.036,531.587,4.047,,,,519.702,4094.19,26.948,11.17,,,
Tyler Warren,TE,6.292,14.466,0.379,86.007,871.835,5.321,,,,,,,
Savion Williams,WR,8.965,47.003,0.319,23.917,271.478,1.988,,,,,,,
Tank Dell,WR,8.408,44.586,0.197,37.948,461.93,2.656,,,,,,,
Eli Stowers,TE,4.626,19.917,0.172,14.313,142.902,1.027,,,,,,,
Ja'Tavion Sanders,TE,,,,35.055,303.81,2.087,,,,,,,
Caleb Williams,QB,71.108,382.019,2.286,,,,528.278,3822.771,25.315,9.921,,,
Jalen Nailor,WR,2.092,11.087,0.076,44.153,605.732,3.012,,,,,,,
Oronde Gadsden,TE,,,,41.603,443.681,3.457,,,,,,,
Malik Nabers,WR,4.192,21.615,0.139,81.377,1068.514,6.865,,,,,,,
Will Shipley,RB,9.251,39.616,0.3,11.288,83.461,0.394,,,,,,,
Kalif Raymond,WR,4.571,27.189,0.16,19.176,186.965,0.898,,,,,,,
Justice Hill,RB,48.77,223.189,1.357,39.466,349.149,1.678,,,,,,,
Gardner Minshew II,QB,0.891,2.554,0.031,,,,21.727,141.817,0.634,0.593,,,
Dallas Goedert,TE,,,,70.48,725.54,5.65,,,,,,,
Chris Manhertz,TE,,,,1.833,16.331,0.12,,,,,,,
Isaiah Bond,WR,4.25,23.52,0.118,9.909,130.053,0.775,,,,,,,
Mason Taylor,TE,,,,27.58,231.569,1.141,,,,,,,
Rico Dowdle,RB,222.831,973.214,5.487,29.218,210.018,1.072,,,,,,,
Aaron Rodgers,QB,28.123,99.547,0.885,,,,568.434,3767.926,20.054,11.149,,,
Ashton Jeanty,RB,281.056,1136.453,7.109,64.95,494.59,2.018,,,,,,,
Michael Burton,RB,4.25,17.647,0.1,4.184,26.457,0.146,,,,,,,
Jonathon Brooks,RB,176.609,741.584,3.986,32.607,249.901,1.327,,,,,,,
Terry McLaurin,WR,,,,80.17,1036.36,5.701,,,,,,,
Elijah Arroyo,TE,,,,24.101,264.237,1.716,,,,,,,
Justin Herbert,QB,78.31,405.898,2.32,,,,527.834,3846.225,25.513,11.005,,,
Matthew Hibner,TE,,,,3.335,35.839,0.293,,,,,,,
Harrison Butker,K,,,,,,,,,,,30.832,35.669,40.849
DJ Giddens,RB,33.555,141.462,1.006,8.547,56.839,0.3,,,,,,,
Drew Lock,QB,1.171,5.189,0.048,,,,21.157,134.319,0.805,0.575,,,
De'Zhaun Stribling,WR,,,,36.138,543.331,3.335,,,,,,,
Konata Mumpfield,WR,,,,9.879,126.682,1.148,,,,,,,
Mitchell Trubisky,QB,1.127,2.49,0.048,,,,23.566,153.96,0.674,0.715,,,
Keaton Mitchell,RB,62.392,293.716,1.791,12.029,92.612,0.463,,,,,,,
Trey Lance,QB,1.491,6.823,0.044,,,,22.451,147.337,0.978,0.57,,,
Nate Adkins,TE,,,,7.836,68.573,0.671,,,,,,,
Ladd McConkey,WR,,,,79.619,1034.034,6.269,,,,,,,
Bucky Irving,RB,244.464,993.6,5.341,36.83,294.454,1.745,,,,,,,
Parker Washington,WR,8.033,38.855,0.266,63.745,849.929,5.151,,,,,,,
Hunter Luepke,RB,13.268,56.065,0.44,8.615,61.692,0.353,,,,,,,
C.J. Stroud,QB,57.061,248.938,1.046,,,,551.034,3945.704,21.377,12.057,,,
Greg Dulcich,TE,,,,51.758,580.99,1.643,,,,,,,
Shedeur Sanders,QB,21.174,119.272,0.622,,,,232.125,1623.226,7.145,5.557,,,
Brian Thomas Jr.,WR,4.017,23.102,0.163,57.085,860.103,5.032,,,,,,,
Dont'e Thornton Jr.,WR,,,,12.125,167.549,0.602,,,,,,,
Brock Bowers,TE,4.183,15.528,0.196,98.427,995.939,6.551,,,,,,,
CJ Dippre,TE,,,,3.889,37.34,0.272,,,,,,,
TreVeyon Henderson,RB,194.272,853.812,6.815,43.144,299.64,1.59,,,,,,,
Marvin Harrison Jr.,WR,,,,68.789,954.595,5.062,,,,,,,
Reggie Gilliam,RB,,,,4.109,29.793,0.148,,,,,,,
George Kittle,TE,,,,69.729,761.714,5.215,,,,,,,
Malachi Corley,WR,6.376,43.83,0.207,1.659,16.458,0.052,,,,,,,
Kyle Williams,WR,4.133,22.331,0.192,6.433,91.473,0.552,,,,,,,
Elijah Sarratt,WR,,,,19.529,294.553,1.774,,,,,,,
Ollie Gordon II,RB,49.385,202.791,1.211,3.938,27.755,0.122,,,,,,,
Isaiah Davis,RB,39.098,178.163,1.315,12.884,95.38,0.411,,,,,,,
Calvin Ridley,WR,6.08,32.001,0.246,46.229,721.68,3.576,,,,,,,
Mack Hollins,WR,,,,10.768,126.685,0.789,,,,,,,
Jarrett Stidham,QB,1.65,6.773,0.049,,,,22.238,161.353,1.099,0.584,,,
Andrei Iosivas,WR,2.037,11.167,0.086,27.293,317.474,2.787,,,,,,,
Patrick Ricard,RB,,,,3.945,26.891,0.137,,,,,,,
Deshaun Watson,QB,42.017,211.086,0.962,,,,311.339,2042.46,8.384,7.033,,,
Adonai Mitchell,WR,2.172,11.164,0.108,41.528,610.834,3.523,,,,,,,
Marlin Klein,TE,,,,3.956,36.255,0.223,,,,,,,
Jalen Coker,WR,,,,61.227,697.897,3.165,,,,,,,
Josh Cuevas,TE,,,,3.335,35.839,0.293,,,,,,,
David Njoku,TE,,,,28.997,298.696,2.79,,,,,,,
Foster Moreau,TE,,,,7.648,79.265,0.586,,,,,,,
Luke Farrell,TE,,,,4.214,40.727,0.285,,,,,,,
Patrick Mahomes,QB,53.07,326.432,3.241,,,,551.154,3992.552,26.14,11.671,,,
Kaelon Black,RB,35.381,146.559,1.034,4.076,31.416,0.181,,,,,,,
Darnell Mooney,WR,2.226,11.914,0.077,30.832,450.947,2.433,,,,,,,
Tory Horton,WR,,,,21.622,299.011,2.311,,,,,,,
Devin Singletary,RB,22.261,89.153,0.621,4.21,26.335,0.092,,,,,,,
Jalen Hurts,QB,106.308,438.206,9.167,,,,498.972,3780.651,23.574,9.17,,,
Eric Saubert,TE,,,,3.422,34.388,0.298,,,,,,,
J.J. McCarthy,QB,9.842,43.848,0.631,,,,85.749,598.804,3.352,2.263,,,
Tyson Bagent,QB,1.507,5.918,0.076,,,,22.059,156.002,1.033,0.548,,,
Tai Felton,WR,,,,3.715,37.06,0.236,,,,,,,
Nick Folk,K,,,,,,,,,,,31.032,34.448,31.159
Ted Hurst III,WR,,,,22.788,295.016,2.139,,,,,,,
Tip Reiman,TE,,,,3.826,34.462,0.196,,,,,,,
Joe Royer,TE,,,,7.532,67.246,0.339,,,,,,,
Joey Slye,K,,,,,,,,,,,27.225,32.404,29.094
Devontez Walker,WR,,,,11.579,166.443,1.176,,,,,,,
Dalton Kincaid,TE,,,,59.288,697.683,4.452,,,,,,,
Cam Skattebo,RB,249.321,1046.991,7.274,49.259,364.97,1.632,,,,,,,
Joe Flacco,QB,0.399,1.167,0.017,,,,24.627,164.458,1.317,0.688,,,
Aaron Jones Sr.,RB,170.075,740.47,3.718,47.01,344.216,2.08,,,,,,,
Jayden Higgins,WR,,,,54.505,666.528,3.429,,,,,,,
Jason Sanders,K,,,,,,,,,,,28.411,32.404,28.737
Cooper Kupp,WR,,,,37.857,471.717,2.822,,,,,,,
Cedric Tillman,WR,,,,2.97,33.159,0.177,,,,,,,
Isaac TeSlaa,WR,,,,23.753,301.771,3.231,,,,,,,
Rachaad White,RB,134.701,566.708,5.074,46.67,293.174,1.859,,,,,,,
